district_name,district_geoid,median_household_income,median_family_income,labor_force_pct,unemployment_pct,uninsured_pct,snap_pct,owner_occ_pct,renter_occ_pct,median_home_value
"Lafayette Parish School District, LA",2200870,66617,86315,NA,5.2,7.6,12,66.3,33.7,222400
"Lafourche Parish School District, LA",2200900,61381,78226,NA,6.5,6.1,15.2,78.3,21.7,177200
"Lincoln Parish School District, LA",2200990,37001,58542,NA,4.2,6.9,16.8,51.9,48.1,184300
"Livingston Parish School District, LA",2201020,77978,89645,NA,4.5,8.1,11.6,82.3,17.7,210100
"Madison Parish School District, LA",2201050,34508,45203,NA,5.8,11.3,29.6,55.4,44.6,88200
"Monroe City School District, LA",2201080,36550,51446,NA,10.7,8.5,26.5,44.6,55.4,158200
"Morehouse Parish School District, LA",2201110,37875,51925,NA,8.8,7.8,28.2,66.7,33.3,104300
"Natchitoches Parish School District, LA",2201140,41310,61598,NA,8.9,7.6,21.7,57.2,42.8,155700
"Orleans Parish School District, LA",2201170,51116,73549,NA,8.4,8.5,18.1,49.3,50.7,281500
"Ouachita Parish School District, LA",2201200,56789,72477,NA,4.9,7.7,15,65.9,34.1,175000
"Plaquemines Parish School District, LA",2201230,77996,84478,NA,4.4,5.6,15.4,71.8,28.2,253300
"Pointe Coupee Parish School District, LA",2201260,53045,71425,NA,7.4,8.7,13.9,77.4,22.6,172500
"Rapides Parish School District, LA",2201290,55407,67923,NA,5.7,8.9,18.2,65.9,34.1,171400
"Red River Parish School District, LA",2201320,43821,56918,NA,3.3,9.5,15.1,75.2,24.8,99100
"Richland Parish School District, LA",2201350,48125,56184,NA,6.8,9.4,24.1,63.8,36.2,121800
